Date,VIX,DXY,SPY,TLT,GLD
2020-01-02,12.470000267028809,96.8499984741211,298.57861328125,116.30685424804688,143.9499969482422
2020-01-03,14.020000457763672,96.83999633789062,296.3177185058594,118.0979995727539,145.86000061035156
2020-01-06,13.850000381469727,96.66999816894531,297.4482116699219,117.42744445800781,147.38999938964844
2020-01-07,13.789999961853027,96.9800033569336,296.61187744140625,116.85015106201172,147.97000122070312
2020-01-08,13.449999809265137,97.30000305175781,298.192626953125,116.07768249511719,146.86000061035156
2020-01-09,12.539999961853027,97.44999694824219,300.2145690917969,116.4851303100586,146.02999877929688
2020-01-10,12.5600004196167,97.36000061035156,299.35064697265625,117.5207748413086,146.91000366210938
2020-01-13,12.319999694824219,97.3499984741211,301.4093933105469,117.16423797607422,145.82000732421875
2020-01-14,12.390000343322754,97.37000274658203,300.9498596191406,117.76696014404297,145.69000244140625
2020-01-15,12.420000076293945,97.2300033569336,301.6299743652344,118.54793548583984,146.5399932861328
2020-01-16,12.319999694824219,97.31999969482422,304.1390380859375,118.17442321777344,146.30999755859375
2020-01-17,12.100000381469727,97.61000061035156,305.08563232421875,117.16423797607422,146.5800018310547
2020-01-21,12.850000381469727,97.52999877929688,304.4882507324219,118.39508819580078,146.74000549316406
2020-01-22,12.90999984741211,97.52999877929688,304.5249328613281,118.81108856201172,146.7899932861328
2020-01-23,12.979999542236328,97.69000244140625,304.874267578125,119.64299774169922,147.1199951171875
2020-01-24,14.5600004196167,97.8499984741211,302.1630554199219,120.61072540283203,147.97999572753906
2020-01-27,18.229999542236328,97.95999908447266,297.31951904296875,122.48681640625,148.99000549316406
2020-01-28,16.280000686645508,98.0199966430664,300.43524169921875,121.52753448486328,147.66000366210938
2020-01-29,16.389999389648438,97.98999786376953,300.1870422363281,122.71598052978516,148.4600067138672
2020-01-30,15.489999771118164,97.87000274658203,301.16119384765625,122.7330322265625,148.47000122070312
2020-01-31,18.84000015258789,97.38999938964844,295.6927795410156,123.85350799560547,149.3300018310547
2020-02-03,17.969999313354492,97.80000305175781,297.8893127441406,123.75320434570312,148.36000061035156
2020-02-04,16.049999237060547,97.95999908447266,302.4295349121094,122.08655548095703,146.42999267578125
2020-02-05,15.149999618530273,98.2699966430664,305.9220275878906,120.75159454345703,146.61000061035156
2020-02-06,14.960000038146973,98.5,306.951416015625,121.29581451416016,147.39999389648438
2020-02-07,15.470000267028809,98.68000030517578,305.3154602050781,122.809326171875,147.7899932861328
2020-02-10,15.039999961853027,98.83000183105469,307.5947570800781,123.14947509765625,148.1699981689453
2020-02-11,15.180000305175781,98.72000122070312,308.1278381347656,122.52876281738281,147.66000366210938
2020-02-12,13.739999771118164,99.05000305175781,310.11297607421875,121.90800476074219,147.5399932861328
2020-02-13,14.149999618530273,99.06999969482422,309.78216552734375,122.37564849853516,148.3800048828125
2020-02-14,13.680000305175781,99.12000274658203,310.2784423828125,122.91133880615234,149.0
2020-02-18,14.829999923706055,99.45999908447266,309.47882080078125,123.75320434570312,150.91000366210938
2020-02-19,14.380000114440918,99.5999984741211,310.95855712890625,123.74469757080078,151.7899932861328
